Student_ID,CGPA,Attendance,Study_Hours,Internship,Projects,Backlogs,Communication_Score,Aptitude_Score,Placed
1075,8.54,58.0,7.0,0,2,0,6,91.0,0
1076,8.63,65.0,3.1,0,2,4,6,56.0,0
1077,8.82,71.0,3.7,1,1,3,10,81.0,0
1078,5.82,92.0,7.0,1,3,4,9,90.0,0
1079,7.04,78.0,3.2,0,0,3,7,64.0,0
1080,6.0,59.0,2.2,0,1,4,5,77.0,0
1081,9.21,88.0,4.9,0,1,4,9,82.0,0
1082,8.18,60.0,7.6,0,3,2,5,95.0,0
1083,6.92,76.0,5.9,0,0,4,5,51.0,0
1084,5.77,65.0,5.0,1,4,1,5,60.0,0
1085,6.84,70.0,1.7,0,4,2,9,70.0,0
1086,6.9,87.0,,0,1,4,10,35.0,0
1087,8.64,63.0,7.9,0,0,0,6,42.0,0
1088,8.24,60.0,2.0,0,1,1,6,83.0,0
1089,9.32,70.0,4.6,0,2,1,10,69.0,0
1090,7.53,83.0,7.1,1,1,1,5,95.0,0
1091,6.01,57.0,6.2,0,1,2,7,86.0,0
1092,8.57,74.0,5.9,1,4,4,4,49.0,0
1093,8.77,90.0,5.9,1,4,4,9,81.0,0
1094,7.91,73.0,3.5,0,4,0,4,,0
1095,8.82,80.0,3.1,0,2,0,10,56.0,0
1096,7.62,57.0,6.7,0,4,1,7,48.0,0
1097,7.75,73.0,6.7,0,0,0,9,60.0,0
1098,7.34,74.0,7.1,0,3,2,10,62.0,0
1099,5.61,86.0,7.4,1,0,4,5,57.0,0
1100,5.96,61.0,4.6,0,0,1,6,48.0,0
1011,5.59,97.0,5.6,0,1,2,6,54.0,0
1026,8.88,98.0,5.5,0,2,0,8,57.0,0
